Degree,ClosenessCentrality,BetwenessCentrality,EigenvectorCentrality,OTU,Domain,Phylum,Class,Order,Family,Genus,Species,DADA2_ID,module,module_connections,total_connections,Zi,Pi
2,0.002,0.0226620768789443,0.017306608577552,ASV_10,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Terrabacter,s__,b17a2f19f4c913ea1af58c2cf5b3abbe,9,2,2,0.730296743340221,0
2,0.0023696682464455,0.00870625358577166,0.128333609845139,ASV_1026,d__Bacteria,p__Firmicutes,c__Bacilli,o__Brevibacillales,f__Brevibacillaceae,g__Brevibacillus,s__,15a955bdc471f90902dbcfe2a7665cbf,1,2,2,-0.448962970811774,0
5,0.00273972602739726,0.104699751386498,0.311334347666765,ASV_1094,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__BIrii41,g__BIrii41,s__,167942f34d78cc1bbfdc1f2712658aec,8,3,5,1.56524758424985,0.56
1,0.00227790432801822,0,0.0359836888654845,ASV_1110,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__,6c33785c46c3fef68941d9addceaf948,5,1,1,-1.09557477650277,0
2,0.00216450216450216,0.0138759118105073,0.0260708612696073,ASV_12,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__,68c56896f754db932a51a88ebad5bc6a,3,2,2,0.353553390593274,0
2,0.00288184438040346,0.0226620768789443,0.302298070150494,ASV_120,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,,,e4cf87f4a8916131be5147cb8aea6227,1,2,2,-0.448962970811774,0
3,0.00268096514745308,0.0432635303117231,0.16108752750457,ASV_1215,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,,,69687aca46e2b7c003ddd2c704240a26,1,3,3,0.404066673730597,0
3,0.00276243093922652,0.0375973280878616,0.379615438678536,ASV_122,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__,aa26ea6be7bbca058cd3a375d6d3ddbd,1,3,3,0.404066673730597,0
2,0.00273972602739726,0.0668483457640084,0.225377891144004,ASV_127,d__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__C0119,g__C0119,s__,99f769f3a08a8b4c96c79d6e0f26adfe,6,1,2,-0.670820393249937,0.5
7,0.0037037037037037,0.281815698166817,1,ASV_13,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,,,6c5f4f9666d82b1bedf94e99acfe6741,1,6,7,2.96315560735771,0.244897959183674
3,0.00294985250737463,0.110837226456848,0.224423455608658,ASV_134,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,s__,c63a29416a7eabd7ff67a49489118771,4,2,3,-0.122380384561194,0.444444444444444
1,0.00225225225225225,0,0.0868001787673748,ASV_142,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Oryzihumus,s__,969f31c0661e3a9cdbee35fd28bdb5ea,8,1,1,-0.670820393249937,0
1,0.00172711571675302,0,0.00482509151221691,ASV_149,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,s__,3a7bcfd3dd1c23c2efae4b6b3fcd36a3,9,1,1,-1.09544511501033,0
4,0.00315457413249211,0.0976463677840614,0.533662273124967,ASV_15,d__Bacteria,p__Chloroflexi,c__KD4-96,o__KD4-96,f__KD4-96,g__KD4-96,s__,5447387f2e042b426b272866c391f08d,1,3,4,0.404066673730597,0.375
5,0.00277777777777778,0.116556703002486,0.129066074041201,ASV_1516,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__uncultured,s__,9676fc13ad1b73f49278b388279cc583,5,4,5,1.68549965615811,0.32
3,0.0028735632183908,0.0788200420730541,0.188037862315865,ASV_154,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,,,dfd42bc974d222dd5ad90c5cb821ea9f,9,2,3,0.730296743340221,0.444444444444444
2,0.0025974025974026,0.021897112258558,0.177305364435372,ASV_158,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,,,649f026cd615015b1c0f8e760d309122,1,2,2,-0.448962970811774,0
2,0.0021978021978022,0.0226620768789443,0.0453443294577811,ASV_166,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Catenulisporales,f__Catenulisporaceae,g__Catenulispora,s__,e7e93865cdfd187a6c9b070835b498c9,4,2,2,-0.122380384561194,0
1,0.00188679245283019,0,0.0185295548920834,ASV_1708,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Oceanobacillus,s__,976b5ae199a698fb7bc3f801f2f4b4ad,4,1,1,-0.979043076489548,0
1,0.00166944908180301,0,0.00245753466520858,ASV_173,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Catenulisporales,f__Catenulisporaceae,g__Catenulispora,s__,02b0b89ab1b53f85cbdd5165c181a7c2,7,1,1,-0.670820393249937,0
1,0.00244498777506112,0,0.0533871680334223,ASV_176,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,aeacd2afff6f64686cf9630d9547a892,2,1,1,-0.933333333333333,0
2,0.00236406619385343,0.044750430292599,0.0572501457549372,ASV_18,d__Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__Gitt-GS-136,f__Gitt-GS-136,g__Gitt-GS-136,s__,4cca2d47a8cf1f47c737ee0412ef1217,9,2,2,0.730296743340221,0
2,0.00288184438040346,0.00562727098871677,0.346630072774352,ASV_19,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,s__,e3620a87443a142150a1b20a237c48a2,1,2,2,-0.448962970811774,0
2,0.002710027100271,0.00279690189328744,0.2432906143904,ASV_2,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__,0ddcd311e02f742e2e0e61ce02cf9c29,1,2,2,-0.448962970811774,0
2,0.00226244343891403,0.0226620768789443,0.0941157724712257,ASV_204,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,,,8145fcdc23c05da1eaa10f826eafcd02,8,2,2,0.447213595499958,0
3,0.00303030303030303,0.0656674316312871,0.191488766146515,ASV_223,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,c9de210c5a513e7749d7e67ce403d19a,2,2,3,0.266666666666667,0.444444444444444
3,0.00224719101123596,0.0773331420921782,0.0267013356743015,ASV_23,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Candidatus_Udaeobacter,s__,8abdf967e5b46a4af2dc34923219a392,7,2,3,0.447213595499958,0.444444444444444
2,0.00264550264550265,0.044750430292599,0.149998739440206,ASV_254,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,s__,f48cbba2fe7a2cba3df1c5bcffc1fa83,4,2,2,-0.122380384561194,0
1,0.00181818181818182,0,0.0100116606550342,ASV_26,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Phycicoccus,s__,fe0b139ead8552cf0813868bc8fc75c7,6,1,1,-0.670820393249937,0
2,0.00220264317180617,0.00267737617135207,0.0659393281018819,ASV_261,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,s__,48e66f161c49cfb0e6d69e07edb789d3,5,2,2,-0.16854996561581,0
2,0.00222222222222222,0.0284088735895965,0.0169437934449397,ASV_268,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,s__,c37e7e03a26fbfce94680b5fe323d0d7,2,1,2,-0.933333333333333,0.5
2,0.00260416666666667,0.0315486435538071,0.149369555427588,ASV_28,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__,bdf8a26094624622d68509a87fa75ba7,4,1,2,-0.979043076489548,0.5
4,0.00267379679144385,0.0703863071332951,0.219854839158996,ASV_283,d__Bacteria,p__Firmicutes,c__Bacilli,o__Alicyclobacillales,f__Alicyclobacillaceae,g__Tumebacillus,s__,076ce8b3d8cd6f475bda470865abb976,4,4,4,1.59094499929552,0
3,0.00268096514745308,0.0826592082616179,0.0708385720794251,ASV_294,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Catenulisporales,f__Catenulisporaceae,g__Catenulispora,s__,2b1c5e6dab0f9586ee5d688d2fa3fe51,2,2,3,0.266666666666667,0.444444444444444
